alfa,beta,flape,profundor,aileronEsquerdo,aileronDireito,leme,CD,CL,CM,CY,C1,CN,Q
-8.4,0.0,0.0,-20.0,0.0,0.0,0.0,0.07,-0.46799999999999997,0.221,-0.040999999999999995,-0.019,0.038,281.2
-8.4,0.0,0.0,-20.0,0.0,0.0,0.0,0.075,-0.436,0.174,-0.004,-0.003,0.001,275.6
-8.3,0.0,0.0,0.0,11.0,10.0,0.0,0.047,-0.376,-0.052000000000000005,-0.003,-0.004,0.001,284.8
-8.3,0.0,0.0,0.0,11.0,10.0,0.0,0.053,-0.301,-0.23399999999999999,-0.003,-0.004,0.001,278.1
-8.3,0.0,0.0,0.0,11.0,10.0,0.0,0.065,-0.551,0.408,-0.002,-0.001,0.001,282.4
-8.3,0.0,0.0,0.0,11.0,10.0,0.0,0.086,-0.61,0.563,-0.002,-0.001,0.001,279.4
-8.3,0.0,0.0,0.0,11.0,10.0,0.0,0.055999999999999994,-0.473,0.19,-0.003,-0.032,-0.002,277.4
-8.3,0.0,0.0,0.0,11.0,10.0,0.0,0.063,-0.46,0.19,-0.004,-0.039,-0.004,277.8
-8.3,0.0,0.0,0.0,11.0,10.0,0.0,0.053,-0.466,0.185,-0.003,-0.02,-0.001,279.6
-8.3,0.0,0.0,0.0,11.0,10.0,0.0,0.054000000000000006,-0.462,0.187,-0.021,-0.01,0.018000000000000002,281.3
-8.3,0.0,0.0,0.0,11.0,10.0,0.0,0.063,-0.467,0.204,-0.037000000000000005,-0.016,0.034,281.1
-8.3,0.0,0.0,0.0,11.0,10.0,0.0,0.07,-0.46799999999999997,0.221,-0.040999999999999995,-0.019,0.038,281.2
-8.3,0.0,0.0,0.0,11.0,10.0,0.0,0.075,-0.436,0.174,-0.004,-0.003,0.001,275.6
-8.3,0.0,0.0,0.0,17.0,15.0,0.0,0.047,-0.376,-0.052000000000000005,-0.003,-0.004,0.001,284.8
-8.3,0.0,0.0,0.0,17.0,15.0,0.0,0.053,-0.301,-0.23399999999999999,-0.003,-0.004,0.001,278.1
-8.3,0.0,0.0,0.0,17.0,15.0,0.0,0.065,-0.551,0.408,-0.002,-0.001,0.001,282.4
-8.3,0.0,0.0,0.0,17.0,15.0,0.0,0.086,-0.61,0.563,-0.002,-0.001,0.001,279.4
-8.3,0.0,0.0,0.0,17.0,15.0,0.0,0.055999999999999994,-0.473,0.19,-0.003,-0.032,-0.002,277.4
-8.3,0.0,0.0,0.0,17.0,15.0,0.0,0.063,-0.46,0.19,-0.004,-0.039,-0.004,277.8
-8.3,0.0,0.0,0.0,17.0,15.0,0.0,0.053,-0.466,0.185,-0.003,-0.02,-0.001,279.6
-8.3,0.0,0.0,0.0,17.0,15.0,0.0,0.054000000000000006,-0.462,0.187,-0.021,-0.01,0.018000000000000002,281.3
-8.3,0.0,0.0,0.0,17.0,15.0,0.0,0.063,-0.467,0.204,-0.037000000000000005,-0.016,0.034,281.1
-8.3,0.0,0.0,0.0,17.0,15.0,0.0,0.07,-0.46799999999999997,0.221,-0.040999999999999995,-0.019,0.038,281.2
-8.3,0.0,0.0,0.0,17.0,15.0,0.0,0.075,-0.436,0.174,-0.004,-0.003,0.001,275.6
-8.3,0.0,0.0,0.0,6.0,5.0,0.0,0.047,-0.376,-0.052000000000000005,-0.003,-0.004,0.001,284.8
-8.3,0.0,0.0,0.0,6.0,5.0,0.0,0.053,-0.301,-0.23399999999999999,-0.003,-0.004,0.001,278.1
-8.3,0.0,0.0,0.0,6.0,5.0,0.0,0.065,-0.551,0.408,-0.002,-0.001,0.001,282.4
-8.3,0.0,0.0,0.0,6.0,5.0,0.0,0.086,-0.61,0.563,-0.002,-0.001,0.001,279.4
-8.3,0.0,0.0,0.0,6.0,5.0,0.0,0.055999999999999994,-0.473,0.19,-0.003,-0.032,-0.002,277.4
-8.3,0.0,0.0,0.0,6.0,5.0,0.0,0.063,-0.46,0.19,-0.004,-0.039,-0.004,277.8
-8.3,0.0,0.0,0.0,6.0,5.0,0.0,0.053,-0.466,0.185,-0.003,-0.02,-0.001,279.6
-8.3,0.0,0.0,0.0,6.0,5.0,0.0,0.054000000000000006,-0.462,0.187,-0.021,-0.01,0.018000000000000002,281.3
-8.3,0.0,0.0,0.0,6.0,5.0,0.0,0.063,-0.467,0.204,-0.037000000000000005,-0.016,0.034,281.1
-8.3,0.0,0.0,0.0,6.0,5.0,0.0,0.07,-0.46799999999999997,0.221,-0.040999999999999995,-0.019,0.038,281.2
-8.3,0.0,0.0,0.0,6.0,5.0,0.0,0.075,-0.436,0.174,-0.004,-0.003,0.001,275.6
-8.3,0.0,0.0,0.0,0.0,0.0,-10.0,0.047,-0.376,-0.052000000000000005,-0.003,-0.004,0.001,284.8
-8.3,0.0,0.0,0.0,0.0,0.0,-10.0,0.053,-0.301,-0.23399999999999999,-0.003,-0.004,0.001,278.1
-8.3,0.0,0.0,0.0,0.0,0.0,-10.0,0.065,-0.551,0.408,-0.002,-0.001,0.001,282.4
-8.3,0.0,0.0,0.0,0.0,0.0,-10.0,0.086,-0.61,0.563,-0.002,-0.001,0.001,279.4
-8.3,0.0,0.0,0.0,0.0,0.0,-10.0,0.055999999999999994,-0.473,0.19,-0.003,-0.032,-0.002,277.4
-8.3,0.0,0.0,0.0,0.0,0.0,-10.0,0.063,-0.46,0.19,-0.004,-0.039,-0.004,277.8
-8.3,0.0,0.0,0.0,0.0,0.0,-10.0,0.053,-0.466,0.185,-0.003,-0.02,-0.001,279.6
-8.3,0.0,0.0,0.0,0.0,0.0,-10.0,0.054000000000000006,-0.462,0.187,-0.021,-0.01,0.018000000000000002,281.3
-8.3,0.0,0.0,0.0,0.0,0.0,-10.0,0.063,-0.467,0.204,-0.037000000000000005,-0.016,0.034,281.1
-8.3,0.0,0.0,0.0,0.0,0.0,-10.0,0.07,-0.46799999999999997,0.221,-0.040999999999999995,-0.019,0.038,281.2
-8.3,0.0,0.0,0.0,0.0,0.0,-10.0,0.075,-0.436,0.174,-0.004,-0.003,0.001,275.6
-8.3,0.0,0.0,0.0,0.0,0.0,-20.0,0.047,-0.376,-0.052000000000000005,-0.003,-0.004,0.001,284.8
